Geneid	VM-1	VM-2	VM-3	VM-4
YDL246C	68.33	43	76	83
YDL243C	153	165	178.75	233.5
YDR387C	1055.72	963.83	1093.23	1336.21
YDL094C	20	5.5	28	10
YDR438W	330.16	161	371.08	241.67
YDR523C	55.5	34.25	54.25	49
YDR542W	16.43	23.1	21.56	33.35
YDR492W	4204.83	1533.58	4667.83	2088.83
YDR018C	131.42	173.67	137.7	279
YDL189W	1373	686	1325	863
YDR508C	5650.17	4352.33	5821.89	5684.19
YDR462W	542	218	555.06	296.3
YDR175C	313.75	135	356	187
YDR186C	4417.21	2995.87	5004.42	4211.17
YDR150W	8935.64	7255.35	10283.1	10509.47
YDR243C	485.34	256.25	597.58	352.78
YDL182W	3181.5	542.5	3220	785.67
YDR362C	479	246	492.67	405.33
YDR232W	4336.42	2325	3955.08	3027.67
YDR158W	6887.75	4160.92	7147.33	5723.33
YDR439W	529	439	641	645
YDL206W	765.25	714.25	812.69	982.36
