Geneid	VM-1	VM-2	VM-3	VM-4
YDL246C	68.33	43	76	83
YDL243C	153	165	178.75	233.5
YDR387C	1055.72	963.83	1093.23	1336.21
YDL094C	20	5.5	28	10
YDR438W	330.16	161	371.08	241.67
YDR523C	55.5	34.25	54.25	49
YDR542W	16.43	23.1	21.56	33.35
YDR492W	4204.83	1533.58	4667.83	2088.83
YDR018C	131.42	173.67	137.7	279
YDL189W	1373	686	1325	863
YDR508C	5650.17	4352.33	5821.89	5684.19
YDR462W	542	218	555.06	296.3
YDR175C	313.75	135	356	187
YDR186C	4417.21	2995.87	5004.42	4211.17
YDR150W	8935.64	7255.35	10283.1	10509.47
YDR243C	485.34	256.25	597.58	352.78
YDL182W	3181.5	542.5	3220	785.67
YDR362C	479	246	492.67	405.33
YDR232W	4336.42	2325	3955.08	3027.67
YDR158W	6887.75	4160.92	7147.33	5723.33
YDR439W	529	439	641	645
YDL206W	765.25	714.25	812.69	982.36
YDR125C	415.76	97.12	476.84	141.76
YDR338C	887.17	645.41	987.89	828.89
YDR526C	11	8	10	8.5
YDR533C	575.43	387	627.5	569.5
YDR272W	874.67	638	1116.42	922.9
YDR197W	853.5	519	1135	736
YDR512C	392.85	170	398.25	295.5
YDR489W	493.5	351.3	555.3	515.15
YDR299W	2168.25	968	2854.6	1517.25
YDL015C	4949.5	2957.5	5235.75	4135.75
YDR304C	2392.67	1678.5	2613.5	2279
YDR271C	16	20.25	27.07	24
YDL181W	553.5	433	620.67	649
YDR367W	686.07	255	714.67	425.05
YDR085C	2224	5706.71	2524.93	7753.56
YDL097C	3578.5	2845.33	4054.5	3979.68
YDL139C	192.22	147.5	283.2	243.17
YDR200C	1213.58	1056.28	1455.17	1444.58
YDR191W	152.34	121.63	185.93	173
YDR451C	335.5	118	406	168.5
YDR469W	642.1	552.17	793	737
YDR470C	710	528.25	856.5	792.75
YDR105C	1139	764.67	1192.12	1095
YDR483W	4718.83	3349.58	4864.63	4761.38
YDL123W	397.5	535	378.25	702
YDL199C	447.02	695.17	426.5	928.78
YDR505C	2284.55	2337.25	2476.46	3330.46
YDL045W-A	574.5	320	701	453
YDL045C	659	656.16	770.83	1063.77
YDR361C	1611	602	1914.03	951.57
YDR406W-A	2.56	2.5	3.5	7
YDR199W	6	1	2.07	3
YDR266C	3495.15	1997	4065.31	2832.52
YDL242W	9	7	4	9
YDR002W	2368.5	1486	2869.25	2066
YDR214W	4804.61	3102.5	4863.67	4182.92
YDR130C	245	221.17	268.25	302
YDL176W	491.5	324.31	528.06	428.25
YDR358W	757.61	1372	988.25	1891.5
YDR544C	56.83	51.27	90.79	79.66
YDR460W	206	150	222.22	217
snR84	2550.33	1606.33	2286.5	2179.5
YDR034W-B	55.89	548.5	82	868.22
YDL028C	861.06	573.15	1043	860.55
YDR061W	364.19	264.1	427	328.79
YDR060W	6890.34	2489	7911.15	3607.5
YDR169C-A	13	20	14	17
YDR363W	454.14	279.07	527.63	433.04
YDR422C	2494	1571.87	2583.5	2258.74
YDR119W	5686.99	2125.3	5641.57	2934.62
tR(ACG)D	9	4	8.6	9
YDR097C	1327.79	907.5	1487.25	1328.12
YDR042C	464.73	244.2	538.58	253.3
YDL160C	5325.62	4254.08	5954.38	5948.08
YDR425W	1171.92	1475.5	1419.75	2103.38
snR13	666.25	398	715	509.67
YDR228C	1486.21	1063.75	1852.68	1547.36
YDR319C	756.71	1022.5	840.5	1336.25
YDR471W	7891	4308.17	8989.5	5827.5
YDR089W	783.62	499	907.58	643
tD(GUC)D	1.75	0.88	1.5	2.45
YDR275W	252.25	110.25	285	209
YDR043C	479.31	741	621.17	994.12
YDR129C	5352.5	6726.42	5549.58	9035.92
YDR136C	8	7	5	3.08
YDL066W	8509.31	5202.83	9281.48	7090.17
YDR302W	537	317	687	483
YDR239C	1195.35	691.57	1272.96	950.66
YDR539W	1642	1277	1628.06	1717.85
tK(CUU)D1	1	0	1	6.12
YDL125C	1956.17	1569.04	2104	2101.67
YDR493W	681	301	806	431
YDR101C	3604.5	1338.25	3961.35	1919.08
YDR182W-A	27	23.5	31	21.5
YDR212W	3439.42	1872.65	3422.4	2654.17
YDR476C	1742.5	1632.33	1553.33	2081.5
YDL131W	4306.25	2005.67	4470.17	2767.67
YDR458C	1016.38	724.17	1122.6	989.71
YDR081C	2730.3	1747.25	3137	2435
YDL071C	72	32	75	64
YDR113C	355.39	374.74	411.67	510.86
YDR168W	2792.47	2508.92	3257.38	3493.32
YDR520C	854.33	706.17	995	1083.67
YDR307W	1400.94	1094.25	1587.24	1630.39
YDR265W	229	206.5	294.58	294
YDL076C	519.5	463.08	579.5	691.94
YDL006W	358	291.25	398.5	397.75
YDL086W	3345	2251.25	3426.5	3007.5
YDR238C	8644.83	6198.52	9496.95	8584.75
YDR077W	97191.67	58578.21	101020.54	69752.63
YDR381C-A	269	143	321.42	223
YDL023C	4.1	1	3	6
YDL083C	4465.33	2024	4777.06	2752
YDR036C	3318.5	1732	3480.27	2298.92
YDR057W	891.68	699.25	1024.25	948.7
YDR513W	2594	1824	2898.5	2528.92
YDR487C	3423	2258	3895.42	2986.75
YDR066C	135	87	132	102.17
YDR352W	760.03	413.25	878.25	534.56
YDR278C	11.75	13.75	2.25	1.75
YDR079C-A	86	33	92	57
YDR204W	1094.06	920	1316.06	1461
YDL247W-A	137	123.5	158	188
YDL024C	44	104.12	51.5	137.03
tA(AGC)D	0	1.1	1.1	0.2
YDR109C	486.17	353	486.25	484
YDR466W	2300.83	1646.75	2552.5	2326.15
YDR427W	3059.5	2474.42	3836.83	3798.25
YDL044C	526	354.25	730.27	531.5
YDL079C	278.82	224.29	293.97	325
YDR193W	0.1	0	0	1
YDR305C	534	380	686	581.25
YDR377W	1475.07	1037	1701.12	1486
YDR219C	485	334.64	610.86	501.5
