# Program:featureCounts v2.0.3; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-p" "--ignoreDup" "-M" "--fraction" "-T" "16" "-G" "./reference/Saccharomyces_cerevisiae.R64-1-1.106.fa" "-p" "--countReadPairs" "-a" "./reference/Saccharomyces_cerevisiae.R64-1-1.106.gtf" "-o" "./read_counts_v2/read_counts_table" "./dedup_v2/VM-1_S1_L001.sorted.dedup.bam" "./dedup_v2/VM-2_S2_L001.sorted.dedup.bam" "./dedup_v2/VM-3_S3_L001.sorted.dedup.bam" "./dedup_v2/VM-4_S4_L001.sorted.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	./dedup_v2/VM-1_S1_L001.sorted.dedup.bam	./dedup_v2/VM-2_S2_L001.sorted.dedup.bam	./dedup_v2/VM-3_S3_L001.sorted.dedup.bam	./dedup_v2/VM-4_S4_L001.sorted.dedup.bam
YDL246C	IV	8683	9756	-	1074	68.33	43	76	83
YDL243C	IV	17577	18566	-	990	153	165	178.75	233.50
YDR387C	IV	1248154	1249821	-	1668	1055.72	963.83	1093.23	1336.21
YDL094C	IV	289572	290081	-	510	20	5.50	28	10
YDR438W	IV	1338274	1339386	+	1113	330.16	161	371.08	241.67
YDR523C	IV	1485566	1487038	-	1473	55.50	34.25	54.25	49
YDR542W	IV	1523249	1523611	+	363	16.43	23.10	21.56	33.35
YDR492W	IV	1434924	1435874	+	951	4204.83	1533.58	4667.83	2088.83
YDR018C	IV	482670	483860	-	1191	131.42	173.67	137.70	279
YDL189W	IV	122216	123589	+	1374	1373	686	1325	863
YDR508C	IV	1466453	1468444	-	1992	5650.17	4352.33	5821.89	5684.19
YDR462W	IV	1386073	1386516	+	444	542	218	555.06	296.30
YDR175C	IV	813193	814152	-	960	313.75	135	356	187
YDR186C	IV	832859	835492	-	2634	4417.21	2995.87	5004.42	4211.17
YDR150W	IV	755628	763874	+	8247	8935.64	7255.35	10283.10	10509.47
YDR243C	IV	948518	950284	-	1767	485.34	256.25	597.58	352.78
YDL182W	IV	133437	134723	+	1287	3181.50	542.50	3220	785.67
YDR362C	IV	1196679	1198697	-	2019	479	246	492.67	405.33
YDR232W	IV	927452	929098	+	1647	4336.42	2325	3955.08	3027.67
YDR158W	IV	770357	771454	+	1098	6887.75	4160.92	7147.33	5723.33
YDR439W	IV	1339676	1340719	+	1044	529	439	641	645
YDL206W	IV	90176	92464	+	2289	765.25	714.25	812.69	982.36
YDR125C	IV	701397	702758	-	1362	415.76	97.12	476.84	141.76
YDR338C	IV	1147379	1149466	-	2088	887.17	645.41	987.89	828.89
YDR526C	IV	1491075	1491545	-	471	11	8	10	8.50
YDR533C	IV	1501447	1502160	-	714	575.43	387	627.50	569.50
YDR272W	IV	1009010	1009834	+	825	874.67	638.00	1116.42	922.90
YDR197W	IV	851228	852397	+	1170	853.50	519	1135	736
YDR512C	IV	1470500	1471063	-	564	392.85	170	398.25	295.50
YDR489W	IV	1431012	1431896	+	885	493.50	351.30	555.30	515.15
YDR299W	IV	1059627	1061231	+	1605	2168.25	968	2854.60	1517.25
YDL015C	IV	426002	426934	-	933	4949.50	2957.50	5235.75	4135.75
YDR304C	IV	1071880	1072557	-	678	2392.67	1678.50	2613.50	2279
YDR271C	IV	1008395	1008766	-	372	16	20.25	27.07	24
YDL181W	IV	135179	135436	+	258	553.50	433	620.67	649
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	686.07	255	714.67	425.05
YDR085C	IV	614288	616150	-	1863	2224	5706.71	2524.93	7753.56
YDL097C	IV	285391	286695	-	1305	3578.50	2845.33	4054.50	3979.68
YDL139C	IV	211375	212046	-	672	192.22	147.50	283.20	243.17
YDR200C	IV	854279	856093	-	1815	1213.58	1056.28	1455.17	1444.58
